Lineup,Minutes,Off Min,Def Min,Total Possessions,Off Poss,Def Poss,PM_p40,Net_RTG,Off PPP,Def PPP,ORTG,DRTG,Plus_Minus,rel_PM_p40,rel_Off_RTG,rel_Def_RTG,rel_Net_RTG,O_eFG%,O_TOV%,O_ORB%,O_FTR,D_eFG%,D_TOV%,D_ORB%,D_FTR,Stop Rate,Score Rate,Stops,Scores,2FGA,2FGM,3PA,3PM,FTA,FTM,TOV,ORB,FGA,FGM,2FGA Allowed,2FGM Allowed,3PA Allowed,3PM Allowed,FTA Allowed,FTM Allowed,TOV Forced,O-Boards Allowed,FGA Allowed,FGM Allowed,Points For,Points Against,Team Minutes,Team Plus_Minus,Team Off Poss,Team Def Poss,Team Total Possessions,Team ORTG,Team DRTG,Team Net_RTG,Team PM_p40
MS-SI-AC-AM7-MH,0.483,0.483,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,39.947,-79.365,-110.39,31.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-SN-SI-KJ-MH,0.375,0.0,0.375,2,0,2,-213.333,-100.0,0.0,1.0,0.0,100.0,-2,-173.387,-79.365,-10.39,-68.975,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,2,1,0,2,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-SD-DP-JB-MH,0.357,0.0,0.357,2,0,2,-336.449,-150.0,0.0,1.5,0.0,150.0,-3,-296.502,-79.365,39.61,-118.975,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,3,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-AC-A'M-JB-AM7,0.357,0.0,0.357,2,0,2,-448.598,-200.0,0.0,2.0,0.0,200.0,-4,-408.651,-79.365,89.61,-168.975,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,4,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SN-AC-A'M-JB-MH,0.282,0.0,0.282,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,39.947,-79.365,-110.39,31.025,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-AC-IK-EF-AM7,0.282,0.0,0.282,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,39.947,-79.365,-110.39,31.025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-AC-EF-KJ-MH,0.262,0.262,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,39.947,-79.365,-110.39,31.025,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-SD-SN-SI-AM7-KJ,0.255,0.0,0.255,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,39.947,-79.365,-110.39,31.025,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-SN-SI-IK-AM7-KJ,0.243,0.243,0.0,1,1,0,493.151,300.0,3.0,0.0,300.0,0.0,3,533.097,220.635,-110.39,331.025,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,3,0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SN-DP-SI-EF-KJ,0.228,0.0,0.228,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,39.947,-79.365,-110.39,31.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-SD-SN-IK-KJ-MH,0.093,0.093,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,39.947,-79.365,-110.39,31.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
