Player Combo,isTwoPlayer,Minutes,Off Min,Def Min,Off Poss,Def Poss,Total Possessions,rel_PM_p40,On-Off_PMp40,ORTG,DRTG,Net_RTG,On-Off,PM_p40,rel_Off_RTG,rel_Def_RTG,rel_Net_RTG,Plus_Minus,Off-Court PM_p40,Off-Court ORTG,Off-Court DRTG,Off-Court Net_RTG,Team Minutes,Team Plus_Minus,Team Off Poss,Team Def Poss,Team Total Possessions,Team ORTG,Team DRTG,Team Net_RTG,Team PM_p40
SD-SI-AM7-MH,False,1.917,0.633,1.283,2,6,8,39.947,0.0,0.0,0.0,0.0,100.0,0.0,-79.365,-110.39,31.025,0,0.0,100.0,200.0,-100.0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-AC-EF-AM7,False,1.887,0.677,1.21,3,6,9,-66.06,-76.487,0.0,83.333,-83.333,-108.333,-106.007,-79.365,-27.056,-52.309,-5,-29.52,100.0,75.0,25.0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-AC-KJ-MH,False,1.847,1.642,0.205,4,2,6,-3.375,203.942,50.0,200.0,-150.0,27.778,-43.321,-29.365,89.61,-118.975,-2,-247.263,0.0,177.778,-177.778,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-AC-IK-MH,False,1.847,1.642,0.205,4,2,6,-3.375,183.898,50.0,200.0,-150.0,10.0,-43.321,-29.365,89.61,-118.975,-2,-227.219,0.0,160.0,-160.0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
DP-IK-EF-AM7,False,1.803,0.34,1.463,2,7,9,-70.959,51.045,0.0,71.429,-71.429,1.571,-110.906,-79.365,-38.961,-40.404,-5,-161.95,75.0,148.0,-73.0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-DP-IK-AM7,False,1.803,0.34,1.463,2,7,9,-70.959,-7.596,0.0,71.429,-71.429,-6.831,-110.906,-79.365,-38.961,-40.404,-5,-103.31,73.333,137.931,-64.598,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-DP-IK-EF,False,1.803,0.34,1.463,2,7,9,-70.959,17.226,0.0,71.429,-71.429,-10.095,-110.906,-79.365,-38.961,-40.404,-5,-128.131,66.667,128.0,-61.333,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SN-SI-EF-KJ,False,1.795,0.0,1.795,0,5,5,-71.474,18.245,0.0,100.0,-100.0,-50.0,-111.421,-79.365,-10.39,-68.975,-5,-129.666,100.0,150.0,-50.0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
MS-SD-SI-KJ,False,1.78,0.137,1.643,1,7,8,-117.357,-157.303,0.0,100.0,-100.0,-100.0,-157.303,-79.365,-10.39,-68.975,-7,0.0,0.0,0.0,0.0,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
SD-DP-IK-KJ,False,1.76,0.917,0.843,4,3,7,108.129,210.827,175.0,133.333,41.667,175.0,68.182,95.635,22.944,72.691,3,-142.645,0.0,133.333,-133.333,70.093,-70,126,154,280,79.365,110.39,-31.025,-39.947
