#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
27,2,P2,,Offense,,,0:17.0,,,2:11.81,2:28.82,Live,,,,,"#55 Maya Hernandez, #13 Ivana Krajina, Half-court, #11 Erica Finney, #02 Mari Somvichian, #24 Kayla Jones",,,
28,9,P2,,"Defense, Deflection",,,0:08.4,,,2:28.82,2:37.22,Live,,,,,"#11 Erica Finney, #24 Kayla Jones, #55 Maya Hernandez, #13 Ivana Krajina, #02 Mari Somvichian",,,
29,9,P2,,Offense,,,0:10.5,,,2:43.25,2:53.78,Live,,,,,"#13 Ivana Krajina, #55 Maya Hernandez, #24 Kayla Jones, #02 Mari Somvichian, Half-court, #11 Erica Finney",,,
30,0,P2,,Offense,,,0:07.9,,,0:00.32,0:08.26,Live,,,,,"#02 Mari Somvichian, #11 Erica Finney, #13 Ivana Krajina, #24 Kayla Jones, Half-court, #55 Maya Hernandez",,,
31,!,P2,,Offense,,,0:07.7,,,0:19.28,0:26.93,Live,,,,,"#02 Mari Somvichian, #55 Maya Hernandez, #11 Erica Finney, #24 Kayla Jones, #13 Ivana Krajina",,,
32,@-8-2,P2,,"Defense, Allow Middle, Allow Paint Touch",,,0:21.3,,,0:26.96,0:48.29,Live,,,,,"#11 Erica Finney, #55 Maya Hernandez, #02 Mari Somvichian, #13 Ivana Krajina, Half-court, #24 Kayla Jones",,,
33,9,P2,,Defense,,,0:06.3,,,0:00.35,0:06.66,Live,,,,,"#04 Allison Clarke, #0 Sarah Deng, Transition, #02 Mari Somvichian, #07 Ana Milanovic, #55 Maya Hernandez",,,
34,),P2,,Offense,,,0:06.1,,,0:10.53,0:16.59,Live,,,,,"#0 Sarah Deng, #55 Maya Hernandez, #04 Allison Clarke, #02 Mari Somvichian, #07 Ana Milanovic",,,
35,#-8-2,P2,,Offense,,,0:12.9,,,0:00.06,0:12.93,Live,,,,,"#0 Sarah Deng, #02 Mari Somvichian, #07 Ana Milanovic, #55 Maya Hernandez, #04 Allison Clarke",,,
36,),P2,,Defense,,,0:03.6,,,0:12.93,0:16.52,Live,,,,,"#55 Maya Hernandez, #07 Ana Milanovic, #02 Mari Somvichian, #0 Sarah Deng, #04 Allison Clarke",,,
37,2,P2,,"Defense, Allow Paint Touch",,,0:28.2,,,0:42.56,1:10.77,Live,,,,,"#04 Allison Clarke, #0 Sarah Deng, #55 Maya Hernandez, Half-court, #07 Ana Milanovic, #02 Mari Somvichian",,,
38,9,P2,,Offense,,,0:15.7,,,0:00.38,0:16.12,Live,,,,,"#24 Kayla Jones, #55 Maya Hernandez, Half-court, #04 Allison Clarke, #0 Sarah Deng, #11 Erica Finney",,,
39,3,P2,,Offense,,,0:15.6,,,0:07.72,0:23.29,Live,,,,,"#55 Maya Hernandez, Half-court, #24 Kayla Jones, #0 Sarah Deng, #11 Erica Finney, #13 Ivana Krajina",,,
40,2,P2,,"Defense, Allow Middle, Allow Paint Touch",,,0:28.7,,,0:23.29,0:51.99,Live,,,,,"#13 Ivana Krajina, #11 Erica Finney, #24 Kayla Jones, #0 Sarah Deng, #55 Maya Hernandez",,,
41,#,P3,,"Unsuccessful, Offense",,,0:27.1,,,1:58.79,2:25.85,Live,,,,,"#02 Mari Somvichian, #55 Maya Hernandez, #24 Kayla Jones, #04 Allison Clarke, #13 Ivana Krajina, Half-court",,,
42,9,P3,,"Offense, Unsuccessful",,,0:18.1,,,2:48.09,3:06.18,Live,,,,,"#24 Kayla Jones, #13 Ivana Krajina, Half-court, #04 Allison Clarke, #02 Mari Somvichian, #55 Maya Hernandez",,,
