#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
183,,vid1,#,"Defense, 5v5 Live, Allow_Paint_Touch, Allow_UC3",,,0:12.5,N/A,N/A,16:52.96,17:05.42,Live,,,,,"#55 Maya Hernandez, #6 Shawnee Nordstrom, #24 Kayla Jones, #13 Ivana Krajina, #2 Mari Somvichian",,,
294,,p22,9,"Defense, Stop",,,0:05.2,N/A,N/A,2:15.22,2:20.41,Live,,,,,"#24 Kayla Jones, #6 Shawnee Nordstrom, #13 Ivana Krajina, #55 Maya Hernandez, #3 Danae Powell",,,
295,,p22,9,"Defense, Stop, Allow_Middle, Deflection_",,,0:14.8,N/A,N/A,2:23.01,2:37.81,Live,,,,,"#3 Danae Powell, #6 Shawnee Nordstrom, #24 Kayla Jones, #55 Maya Hernandez, #13 Ivana Krajina",,,
296,,p22,9,"Defense, Stop",,,0:06.2,N/A,N/A,3:42.44,3:48.69,Live,,,,,"#3 Danae Powell, #24 Kayla Jones, #6 Shawnee Nordstrom, #13 Ivana Krajina, #55 Maya Hernandez",,,
297,,p22,@,"Defense, Stop",,,0:33.8,N/A,N/A,3:56.72,4:30.56,Live,,,,,"#13 Ivana Krajina, #24 Kayla Jones, #55 Maya Hernandez, #6 Shawnee Nordstrom, #3 Danae Powell",,,
298,,p22,2,"Defense, Score, Allow_Middle, Allow_Paint_Touch",,,0:30.0,N/A,N/A,5:49.96,6:19.93,Live,,,,,"#8 Shanayka Ismar, #0 Sarah Deng, #55 Maya Hernandez, #4 Allison Clarke, #11 Erica Finney",,,
299,,p22,0-1-!,"Defense, Whistle, Allow_Middle",,,0:22.9,N/A,N/A,6:29.58,6:52.43,Live,,,,,"#4 Allison Clarke, #55 Maya Hernandez, #8 Shanayka Ismar, #11 Erica Finney, #0 Sarah Deng",,,
300,,p22,@,"Defense, Stop, Allow_Middle, Allow_Paint_Touch",,,0:13.3,N/A,N/A,7:55.24,8:08.53,Live,,,,,"#0 Sarah Deng, #55 Maya Hernandez, #8 Shanayka Ismar, #11 Erica Finney, #4 Allison Clarke",,,
301,,p22,9,"Defense, Stop",,,0:10.8,N/A,N/A,8:36.83,8:47.65,Live,,,,,"#0 Sarah Deng, #11 Erica Finney, #8 Shanayka Ismar, #4 Allison Clarke, #55 Maya Hernandez",,,
302,,p22,0-!-1,"Defense, Stop, Allow_Middle, Allow_Paint_Touch",,,0:08.7,N/A,N/A,10:05.09,10:13.83,Live,,,,,"#24 Kayla Jones, #2 Mari Somvichian, #0 Sarah Deng, #4 Allison Clarke, #55 Maya Hernandez",,,
