#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
28,@,P5,,"Defense, Allow Paint Touch, Deflection",,,0:14.6,,,0:17.36,0:31.92,Live,,,,,"#06 Shawnee Nordstrom, #0 Sarah Deng, #24 Kayla Jones, #04 Allison Clarke, #55 Maya Hernandez",,,
29,0-2-1,P5,,"Defense, Allow Paint Touch",,,0:11.7,,,0:52.02,1:03.73,Live,,,,,"#55 Maya Hernandez, #04 Allison Clarke, #24 Kayla Jones, #0 Sarah Deng, #06 Shawnee Nordstrom",,,
30,9,P5,,"Defense, Allow Middle, Deflection",,,0:06.8,,,2:16.85,2:23.69,Live,,,,,"#24 Kayla Jones, #55 Maya Hernandez, #0 Sarah Deng, #06 Shawnee Nordstrom, #13 Ivana Krajina",,,
31,@,P5,,Offense,,,0:15.4,,,2:23.69,2:39.09,Live,,,,,"#55 Maya Hernandez, #13 Ivana Krajina, #0 Sarah Deng, #06 Shawnee Nordstrom, #24 Kayla Jones, Transition",,,
32,),P5,,Offense,,,0:14.6,,,1:38.59,1:53.20,Live,,,,,"#06 Shawnee Nordstrom, #03 Danae Powell, #55 Maya Hernandez, #13 Ivana Krajina, #24 Kayla Jones, Half-court",,,
33,#,P5,,Offense,,,0:24.2,,,2:18.49,2:42.72,Live,,,,,"#13 Ivana Krajina, #24 Kayla Jones, #03 Danae Powell, #06 Shawnee Nordstrom, #55 Maya Hernandez, Half-court",,,
34,9,P5,,"Defense, Deflection",,,0:12.6,,,2:45.83,2:58.38,Live,,,,,"#06 Shawnee Nordstrom, #03 Danae Powell, #13 Ivana Krajina, #24 Kayla Jones, #55 Maya Hernandez",,,
35,2,P5,,Offense,,,0:05.5,,,2:58.38,3:03.86,Live,,,,,"#24 Kayla Jones, #06 Shawnee Nordstrom, #13 Ivana Krajina, #03 Danae Powell, #55 Maya Hernandez, Transition",,,
36,@-8-3,P5,,Offense,,,0:14.6,,,0:03.81,0:18.46,Live,,,,,"#06 Shawnee Nordstrom, #08 Shanayka Ismar, #13 Ivana Krajina, #02 Mari Somvichian, #07 Ana Milanovic, #24 Kayla Jones, Half-court",,,
37,9,P5,,Defense,,,0:04.7,,,0:18.46,0:23.19,Live,,,,,"#02 Mari Somvichian, #24 Kayla Jones, #07 Ana Milanovic, #13 Ivana Krajina, #08 Shanayka Ismar",,,
38,9,P5,,Offense,,,0:18.6,,,0:23.19,0:41.80,Live,,,,,"#07 Ana Milanovic, #24 Kayla Jones, #02 Mari Somvichian, #08 Shanayka Ismar, #13 Ivana Krajina, Transition",,,
39,2,P5,,"Defense, Allow Paint Touch",,,0:15.2,,,0:44.81,1:00.05,Live,,,,,"#02 Mari Somvichian, #08 Shanayka Ismar, #13 Ivana Krajina, #24 Kayla Jones, #07 Ana Milanovic",,,
40,9,P5,,Offense,,,0:07.8,0:01.4,,0:00.06,0:09.29,Live,,,,,"#07 Ana Milanovic, #13 Ivana Krajina, #24 Kayla Jones, #02 Mari Somvichian, #08 Shanayka Ismar, Transition",,,
41,2,P5,,Defense,,,0:10.8,,,0:09.29,0:20.12,Live,,,,,"#07 Ana Milanovic, #08 Shanayka Ismar, #02 Mari Somvichian, #13 Ivana Krajina, #24 Kayla Jones",,,
42,2,P5,,Offense,,,0:17.3,,,0:30.05,0:47.32,Live,,,,,"#04 Allison Clarke, #02 Mari Somvichian, #07 Ana Milanovic, #13 Ivana Krajina, #24 Kayla Jones, Transition",,,
43,9,P5,,Defense,,,0:14.2,,,0:47.32,1:01.56,Live,,,,,"#02 Mari Somvichian, #07 Ana Milanovic, #04 Allison Clarke, #13 Ivana Krajina, #24 Kayla Jones",,,
44,2,P5,,Offense,,,0:20.7,,,1:05.26,1:26.00,Live,,,,,"#24 Kayla Jones, #04 Allison Clarke, #02 Mari Somvichian, #07 Ana Milanovic, #13 Ivana Krajina, Transition",,,
