#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
112,9,P7,,"Defense, Allow Paint Touch",,,0:18.2,,,2:40.98,2:59.22,Live,,,,,"#06 Shawnee Nordstrom, #08 Shanayka Ismar, #11 Erica Finney, #24 Kayla Jones, #55 Maya Hernandez",,,
113,9,P7,,Defense,,,0:23.5,,,0:32.58,0:56.10,Live,,,,,"#06 Shawnee Nordstrom, #08 Shanayka Ismar, #11 Erica Finney, #24 Kayla Jones, #55 Maya Hernandez, Half-court",,,
114,),P7,,Offense,,,0:03.1,,,0:15.94,0:19.06,Live,,,,,"#0 Sarah Deng, #03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #24 Kayla Jones",,,
115,3,P7,,Offense,,,0:21.5,,,0:49.46,1:10.93,Live,,,,,"#0 Sarah Deng, #03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #24 Kayla Jones, Half-court",,,
116,9,P7,,"Defense, Deflection",,,0:14.5,,,1:10.93,1:25.45,Live,,,,,"#0 Sarah Deng, #03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #24 Kayla Jones, Half-court",,,
117,#-8-#-),P7,,Offense,,,0:15.5,,,1:24.71,1:40.23,Live,,,,,"#0 Sarah Deng, #03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #24 Kayla Jones, Transition",,,
118,9,P7,,Offense,,,0:07.8,,,0:07.75,0:15.55,Live,,,,,"#0 Sarah Deng, #03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #24 Kayla Jones, Half-court",,,
119,0-1-!,P7,,Defense,,,0:15.8,,,0:19.82,0:35.63,Live,,,,,"#0 Sarah Deng, #03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #24 Kayla Jones, Half-court",,,
120,),P7,,Offense,,,0:06.2,,,1:06.90,1:13.05,Live,,,,,"#04 Allison Clarke, #08 Shanayka Ismar, #11 Erica Finney, #13 Ivana Krajina, #55 Maya Hernandez, Transition",,,
121,),P7,,Offense,,,0:17.7,,,1:29.33,1:47.07,Live,,,,,"#04 Allison Clarke, #08 Shanayka Ismar, #11 Erica Finney, #13 Ivana Krajina, #55 Maya Hernandez, Half-court",,,
122,),P7,,Offense,,,0:11.1,,,2:26.88,2:38.02,Live,,,,,"#04 Allison Clarke, #08 Shanayka Ismar, #11 Erica Finney, #13 Ivana Krajina, #55 Maya Hernandez, Half-court",,,
123,#,P7,,Offense,,,0:17.8,,,3:27.32,3:45.14,Live,,,,,"#04 Allison Clarke, #08 Shanayka Ismar, #11 Erica Finney, #13 Ivana Krajina, #55 Maya Hernandez, Half-court",,,
124,),P7,,Defense,,,0:08.2,,,3:42.06,3:50.22,Live,,,,,"#04 Allison Clarke, #08 Shanayka Ismar, #11 Erica Finney, #13 Ivana Krajina, #55 Maya Hernandez, Transition",,,
125,9,P7,,Defense,,,0:27.4,,,4:41.35,5:08.77,Live,,,,,"#04 Allison Clarke, #08 Shanayka Ismar, #11 Erica Finney, #13 Ivana Krajina, #55 Maya Hernandez, Transition",,,
126,2,P7,,Offense,,,0:29.6,,,0:02.82,0:32.39,Live,,,,,"#02 Mari Somvichian, #03 Danae Powell, #06 Shawnee Nordstrom, #07 Ana Milanovic, #24 Kayla Jones, Half-court",,,
127,),P7,,Defense,,,0:12.7,,,0:30.49,0:43.17,Live,,,,,"#02 Mari Somvichian, #03 Danae Powell, #06 Shawnee Nordstrom, #07 Ana Milanovic, #24 Kayla Jones, Transition",,,
128,),P7,,Defense,,,0:12.7,,,1:13.52,1:26.20,Live,,,,,"#02 Mari Somvichian, #03 Danae Powell, #06 Shawnee Nordstrom, #07 Ana Milanovic, #24 Kayla Jones, Half-court",,,
129,9,P7,,Defense,,,0:17.1,,,2:15.88,2:32.99,Live,,,,,"#02 Mari Somvichian, #03 Danae Powell, #06 Shawnee Nordstrom, #07 Ana Milanovic, #24 Kayla Jones",,,
130,#,P7,,Offense,,,0:13.7,,,0:00.14,0:13.84,Live,,,,,"#02 Mari Somvichian, #03 Danae Powell, #06 Shawnee Nordstrom, #07 Ana Milanovic, #24 Kayla Jones, Half-court",,,
131,2,P7,,Defense,,,0:09.9,,,0:11.13,0:21.03,Live,,,,,"#02 Mari Somvichian, #03 Danae Powell, #06 Shawnee Nordstrom, #07 Ana Milanovic, #24 Kayla Jones, Transition",,,
132,),P7,,Offense,,,0:05.3,,,0:54.93,1:00.25,Live,,,,,"#0 Sarah Deng, #03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #55 Maya Hernandez",,,
133,9,P7,,Offense,,,0:10.5,,,1:23.53,1:34.06,Live,,,,,"#0 Sarah Deng, #03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #55 Maya Hernandez, Transition",,,
134,#-8-2,P7,,Offense,,,0:34.2,,,2:12.08,2:46.33,Live,,,,,"#0 Sarah Deng, #03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #55 Maya Hernandez, Half-court",,,
135,0-!-1,P7,,"Defense, Allow Paint Touch",,,0:28.7,,,2:41.59,3:10.29,Live,,,,,"#0 Sarah Deng, #03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #55 Maya Hernandez, Half-court",,,
136,9,P7,,Offense,,,0:05.6,,,3:33.30,3:38.88,Live,,,,,"#0 Sarah Deng, #03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #55 Maya Hernandez, Transition",,,
137,9,P7,,Defense,,,0:14.9,,,3:35.65,3:50.55,Live,,,,,"#0 Sarah Deng, #03 Danae Powell, #06 Shawnee Nordstrom, #13 Ivana Krajina, #55 Maya Hernandez, Transition",,,
138,2,P7,,Offense,,,0:12.4,,,4:26.33,4:38.69,Live,,,,,"#04 Allison Clarke, #08 Shanayka Ismar, #11 Erica Finney, #13 Ivana Krajina, #55 Maya Hernandez",,,
139,9,P7,,Defense,,,0:18.3,,,4:33.82,4:52.12,Live,,,,,"#04 Allison Clarke, #08 Shanayka Ismar, #11 Erica Finney, #13 Ivana Krajina, #55 Maya Hernandez",,,
140,2,P7,,Offense,,,0:17.2,,,4:51.09,5:08.29,Live,,,,,"#04 Allison Clarke, #08 Shanayka Ismar, #11 Erica Finney, #13 Ivana Krajina, #55 Maya Hernandez, Half-court",,,
141,3,P7,,Defense,,,0:16.0,,,5:04.42,5:20.46,Live,,,,,"#04 Allison Clarke, #08 Shanayka Ismar, #11 Erica Finney, #13 Ivana Krajina, #55 Maya Hernandez",,,
142,2,P7,,Offense,,,0:13.1,,,5:20.46,5:33.59,Live,,,,,"#04 Allison Clarke, #08 Shanayka Ismar, #11 Erica Finney, #13 Ivana Krajina, #55 Maya Hernandez, Transition",,,
143,2,P7,,"Defense, Allow Middle, Allow Paint Touch",,,0:17.0,,,5:33.59,5:50.59,Live,,,,,"#04 Allison Clarke, #08 Shanayka Ismar, #11 Erica Finney, #13 Ivana Krajina, #55 Maya Hernandez",,,
144,3,P7,,Offense,,,0:15.3,,,0:08.29,0:23.59,Live,,,,,"#0 Sarah Deng, #02 Mari Somvichian, #06 Shawnee Nordstrom, #07 Ana Milanovic, #24 Kayla Jones, Transition",,,
145,3,P7,,Defense,,,0:19.1,,,0:23.59,0:42.70,Live,,,,,"#0 Sarah Deng, #02 Mari Somvichian, #06 Shawnee Nordstrom, #07 Ana Milanovic, #24 Kayla Jones",,,
146,#,P7,,Offense,,,0:22.5,,,0:42.70,1:05.22,Live,,,,,"#0 Sarah Deng, #02 Mari Somvichian, #06 Shawnee Nordstrom, #07 Ana Milanovic, #24 Kayla Jones",,,
147,9,P7,,Defense,,,0:06.4,,,1:05.22,1:11.63,Live,,,,,"#0 Sarah Deng, #02 Mari Somvichian, #06 Shawnee Nordstrom, #07 Ana Milanovic, #24 Kayla Jones",,,
148,3,P7,,Offense,,,0:10.3,,,1:11.63,1:21.96,Live,,,,,"#0 Sarah Deng, #02 Mari Somvichian, #06 Shawnee Nordstrom, #07 Ana Milanovic, #24 Kayla Jones, Transition",,,
149,9,P7,,"Defense, Allow Middle",,,0:13.5,,,1:21.96,1:35.46,Live,,,,,"#0 Sarah Deng, #02 Mari Somvichian, #06 Shawnee Nordstrom, #07 Ana Milanovic, #24 Kayla Jones",,,
150,#,P8,,Offense,,,0:20.3,,,0:39.15,0:59.44,Live,,,,,"#0 Sarah Deng, #06 Shawnee Nordstrom, #11 Erica Finney, #24 Kayla Jones, #55 Maya Hernandez, Half-court",,,
151,9,P8,,Defense,,,0:10.8,,,0:58.99,1:09.83,Live,,,,,"#0 Sarah Deng, #06 Shawnee Nordstrom, #11 Erica Finney, #24 Kayla Jones, #55 Maya Hernandez",,,
152,),P8,,Offense,,,0:09.7,,,1:32.72,1:42.42,Live,,,,,"#03 Danae Powell, #04 Allison Clarke, #07 Ana Milanovic, #08 Shanayka Ismar, #13 Ivana Krajina, Half-court",,,
153,9,P8,,Offense,,,0:16.2,,,2:09.06,2:25.29,Live,,,,,"#03 Danae Powell, #04 Allison Clarke, #07 Ana Milanovic, #08 Shanayka Ismar, #13 Ivana Krajina, Half-court",,,
154,2,P8,,Defense,,,0:09.2,,,2:24.25,2:33.46,Live,,,,,"#03 Danae Powell, #04 Allison Clarke, #07 Ana Milanovic, #08 Shanayka Ismar, #13 Ivana Krajina",,,
155,@-8-@,P8,,Offense,,,0:30.4,,,2:32.33,3:02.70,Live,,,,,"#03 Danae Powell, #04 Allison Clarke, #07 Ana Milanovic, #08 Shanayka Ismar, #13 Ivana Krajina, #03 Danae Powell",,,
156,@-8-@,P8,,Offense,,,0:31.7,,,2:32.83,3:04.50,Live,,,,,"#03 Danae Powell, #04 Allison Clarke, #07 Ana Milanovic, #08 Shanayka Ismar, #13 Ivana Krajina, Transition",,,
157,#-8-3,P8,,Offense,,,0:23.9,,,0:06.55,0:30.49,Live,,,,,"#0 Sarah Deng, #06 Shawnee Nordstrom, #11 Erica Finney, #24 Kayla Jones, #55 Maya Hernandez, Half-court",,,
158,3,P8,,Defense,,,0:15.9,,,0:29.65,0:45.52,Live,,,,,"#0 Sarah Deng, #06 Shawnee Nordstrom, #11 Erica Finney, #24 Kayla Jones, #55 Maya Hernandez",,,
159,),P8,,Offense,,,0:08.1,,,0:55.69,1:03.82,Live,,,,,"#0 Sarah Deng, #06 Shawnee Nordstrom, #11 Erica Finney, #24 Kayla Jones, #55 Maya Hernandez, Half-court",,,
160,#,P8,,Offense,,,0:19.2,,,1:08.22,1:27.39,Live,,,,,"#0 Sarah Deng, #06 Shawnee Nordstrom, #11 Erica Finney, #24 Kayla Jones, #55 Maya Hernandez, Half-court",,,
161,),P8,,Defense,,,0:11.7,,,1:24.69,1:36.36,Live,,,,,"#0 Sarah Deng, #06 Shawnee Nordstrom, #11 Erica Finney, #24 Kayla Jones, #55 Maya Hernandez",,,
162,9,P8,,Offense,,,0:10.3,,,2:48.45,2:58.76,Live,,,,,"#0 Sarah Deng, #06 Shawnee Nordstrom, #11 Erica Finney, #24 Kayla Jones, #55 Maya Hernandez, Half-court",,,
163,0,P8,,Defense,,,0:04.6,,,2:56.02,3:00.63,Live,,,,,"#0 Sarah Deng, #06 Shawnee Nordstrom, #11 Erica Finney, #24 Kayla Jones, #55 Maya Hernandez",,,
164,2,P8,,Offense,,,0:20.3,,,3:17.80,3:38.09,Live,,,,,"#02 Mari Somvichian, #04 Allison Clarke, #07 Ana Milanovic, #08 Shanayka Ismar, #13 Ivana Krajina, Half-court",,,
165,@-8-@-8-2,P8,,Offense,,,0:21.9,,,3:48.40,4:10.26,Live,,,,,"#0 Sarah Deng, #06 Shawnee Nordstrom, #11 Erica Finney, #24 Kayla Jones, #55 Maya Hernandez, Half-court",,,
166,9,P8,,Defense,,,0:08.1,,,4:10.26,4:18.32,Live,,,,,"#0 Sarah Deng, #06 Shawnee Nordstrom, #11 Erica Finney, #24 Kayla Jones, #55 Maya Hernandez",,,
167,@,P8,,Offense,,,0:14.7,,,4:15.22,4:29.93,Live,,,,,"#0 Sarah Deng, #06 Shawnee Nordstrom, #11 Erica Finney, #24 Kayla Jones, #55 Maya Hernandez, Transition",,,
168,@-8-#-8-9,P8,,Offense,,,0:47.7,,,0:53.49,1:41.20,Live,,,,,"#03 Danae Powell, #04 Allison Clarke, #07 Ana Milanovic, #08 Shanayka Ismar, #13 Ivana Krajina, Half-court",,,
169,),P8,,Offense,,,0:12.0,,,1:47.82,1:59.86,Live,,,,,"#0 Sarah Deng, #06 Shawnee Nordstrom, #11 Erica Finney, #24 Kayla Jones, #55 Maya Hernandez, Half-court",,,
170,@,P8,,Offense,,,0:12.6,,,0:28.73,0:41.33,Live,,,,,"#0 Sarah Deng, #06 Shawnee Nordstrom, #11 Erica Finney, #24 Kayla Jones, #55 Maya Hernandez, Half-court",,,
171,#,P8,,Offense,,,0:19.3,,,0:46.91,1:06.25,Live,,,,,"#02 Mari Somvichian, #04 Allison Clarke, #07 Ana Milanovic, #08 Shanayka Ismar, #13 Ivana Krajina, Half-court",,,
172,2,P8,,Defense,,,0:06.7,,,1:05.79,1:12.47,Live,,,,,"#02 Mari Somvichian, #04 Allison Clarke, #07 Ana Milanovic, #08 Shanayka Ismar, #13 Ivana Krajina",,,
173,2,P8,,Offense,,,0:24.8,,,1:40.83,2:05.63,Live,,,,,"#0 Sarah Deng, #04 Allison Clarke, #06 Shawnee Nordstrom, #13 Ivana Krajina, #55 Maya Hernandez, Half-court",,,
174,9,P8,,Defense,,,0:16.3,,,2:05.63,2:21.90,Live,,,,,"#0 Sarah Deng, #04 Allison Clarke, #06 Shawnee Nordstrom, #13 Ivana Krajina, #55 Maya Hernandez",,,
175,3,P8,,Offense,,,0:16.4,,,2:31.82,2:48.20,Live,,,,,"#0 Sarah Deng, #04 Allison Clarke, #06 Shawnee Nordstrom, #13 Ivana Krajina, #55 Maya Hernandez",,,
176,2,P8,,Defense,,,0:06.8,,,2:48.20,2:54.95,Live,,,,,"#0 Sarah Deng, #04 Allison Clarke, #06 Shawnee Nordstrom, #13 Ivana Krajina, #55 Maya Hernandez",,,
177,@,P8,,Offense,,,0:20.8,,,4:55.03,5:15.82,Live,,,,,"#0 Sarah Deng, #04 Allison Clarke, #08 Shanayka Ismar, #24 Kayla Jones, #55 Maya Hernandez, Half-court",,,
178,2,P8,,Offense,,,0:31.7,,,0:39.26,1:11.00,Live,,,,,"#0 Sarah Deng, #04 Allison Clarke, #08 Shanayka Ismar, #24 Kayla Jones, #55 Maya Hernandez, Half-court",,,
179,9,P8,,Offense,,,0:06.7,,,2:20.66,2:27.38,Live,,,,,"#0 Sarah Deng, #04 Allison Clarke, #08 Shanayka Ismar, #24 Kayla Jones, #55 Maya Hernandez, Half-court",,,
180,3,P8,,Defense,,,0:11.2,,,2:26.45,2:37.65,Live,,,,,"#0 Sarah Deng, #04 Allison Clarke, #08 Shanayka Ismar, #24 Kayla Jones, #55 Maya Hernandez",,,
181,3,P8,,Offense,,,0:16.5,,,3:19.39,3:35.92,Live,,,,,"#02 Mari Somvichian, #06 Shawnee Nordstrom, #07 Ana Milanovic, #11 Erica Finney, #13 Ivana Krajina, Half-court",,,
182,9,P8,,Defense,,,0:07.3,,,3:35.04,3:42.36,Live,,,,,"#02 Mari Somvichian, #06 Shawnee Nordstrom, #07 Ana Milanovic, #11 Erica Finney, #13 Ivana Krajina",,,
183,2,P8,,Defense,,,0:09.7,,,3:59.39,4:09.06,Live,,,,,"#02 Mari Somvichian, #06 Shawnee Nordstrom, #07 Ana Milanovic, #11 Erica Finney, #13 Ivana Krajina",,,
184,@,P8,,Defense,,,0:13.3,,,4:20.79,4:34.12,Live,,,,,"#02 Mari Somvichian, #06 Shawnee Nordstrom, #07 Ana Milanovic, #11 Erica Finney, #13 Ivana Krajina",,,
185,9,P8,,Defense,,,0:17.0,,,5:07.26,5:24.26,Live,,,,,"#0 Sarah Deng, #04 Allison Clarke, #08 Shanayka Ismar, #24 Kayla Jones, #55 Maya Hernandez",,,
186,2,P8,,Offense,,,0:09.8,,,5:20.91,5:30.70,Live,,,,,"#0 Sarah Deng, #04 Allison Clarke, #08 Shanayka Ismar, #24 Kayla Jones, #55 Maya Hernandez, Transition",,,
187,2,P8,,Defense,,,0:09.4,,,5:30.37,5:39.73,Live,,,,,"#0 Sarah Deng, #04 Allison Clarke, #08 Shanayka Ismar, #24 Kayla Jones, #55 Maya Hernandez",,,
188,0-2-1,P8,,"Defense, Allow Paint Touch",,,0:15.1,,,0:22.82,0:37.93,Live,,,,,"#0 Sarah Deng, #04 Allison Clarke, #08 Shanayka Ismar, #24 Kayla Jones, #55 Maya Hernandez",,,
