PossessionID,Notes,Side,HeightSortedLineup,IncompleteResult,Duration,2FGA,2FGM,3PA,3PM,FTA,FTM,TOV,ORB,FOUL,PTS,Team_DefPoss,Team_AllowMiddle,Team_AllowPaintTouch,Team_AllowUC3,Team_AllowOBoard,Team_Deflections
1,P5,Defense,SD-SN-AC-KJ-MH,False,0:20.0,0,0,1,1,0,0,0,0,0,3,True,True,True,True,False,False
2,P5,Defense,SD-SN-AC-KJ-MH,False,0:10.3,0,0,0,0,0,0,0,0,1,0,True,False,False,False,False,False
3,P5,Defense,DP-SI-A'M-EF-JB,True,0:14.2,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
4,P5,Defense,MS-DP-IK-EF-AM7,False,0:06.4,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,True
5,P5,Defense,MS-DP-IK-EF-AM7,False,0:10.6,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,True
6,P5,Defense,SD-SN-AC-KJ-MH,False,0:12.9,0,0,0,0,0,0,1,0,0,0,True,True,True,False,False,True
7,P5,Defense,DP-SI-A'M-EF-JB,True,0:09.1,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
8,P5,Defense,DP-SI-A'M-EF-JB,False,0:19.2,1,1,0,0,0,0,0,0,0,2,True,True,True,False,False,False
9,P5,Defense,SD-SN-AC-KJ-MH,False,0:10.6,1,1,0,0,0,0,0,0,0,2,True,False,True,False,False,False
10,P5,Defense,DP-SI-A'M-EF-JB,False,0:14.6,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,True
11,P5,Defense,MS-DP-IK-EF-AM7,False,0:17.6,0,0,1,0,0,0,0,0,0,0,True,False,True,True,False,False
12,P5,Defense,SD-SN-AC-KJ-MH,False,0:20.5,0,0,1,1,0,0,0,0,0,3,True,True,False,False,False,False
13,P5,Defense,DP-SI-A'M-EF-JB,False,0:22.5,0,0,1,1,0,0,0,0,0,3,True,False,False,True,False,False
14,P5,Defense,MS-DP-IK-EF-AM7,False,0:14.0,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
15,P5,Defense,SD-SN-AC-KJ-MH,False,0:15.5,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
16,P5,Defense,DP-SI-A'M-EF-JB,False,0:17.0,1,1,0,0,0,0,0,0,0,2,True,False,True,False,False,False
17,P5,Defense,MS-DP-IK-EF-AM7,False,0:20.6,0,0,1,1,0,0,0,0,0,3,True,False,False,True,False,False
18,P5,Offense,MS-DP-IK-EF-AM7,False,0:08.4,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
19,P5,Offense,MS-DP-IK-EF-AM7,False,0:12.0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False
20,P5,Defense,MS-DP-IK-EF-AM7,False,0:06.0,1,1,0,0,0,0,0,0,0,2,True,False,False,False,False,False
21,P5,Offense,MS-DP-IK-EF-AM7,True,0:19.0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
22,P5,Offense,SD-SN-AC-KJ-MH,False,0:11.7,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False
23,P5,Offense,SD-SN-AC-KJ-MH,False,0:08.2,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False
24,P5,Defense,SD-SN-AC-KJ-MH,False,0:05.3,1,1,0,0,0,0,0,0,0,2,True,False,False,False,False,False
25,P5,Offense,SD-SN-AC-KJ-MH,True,0:12.1,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
