Week,PossessionID,Side,Notes,HeightSortedLineup,IncompleteResult,Duration,2FGA,2FGM,3PA,3PM,FTA,FTM,TOV,ORB,FOUL,PTS,Team_DefPoss,Team_AllowMiddle,Team_AllowPaintTouch,Team_AllowUC3,Team_AllowOBoard,Team_Deflections
1,46,Offense,P3,MS-AC-IK-KJ-MH,False,0:33.1,1,1,0,0,0,0,0,0,0,2,False,False,False,False,False,False
1,47,Offense,P3,MS-SD-IK-EF-AM7,False,0:18.1,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False
1,48,Defense,P3,MS-SD-IK-EF-AM7,False,0:15.1,2,1,0,0,0,0,0,1,0,2,True,True,False,False,True,False
1,49,Offense,P3,MS-SD-IK-EF-AM7,True,0:06.5,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
1,50,Offense,P3,MS-SD-IK-EF-AM7,False,0:24.5,0,0,1,1,0,0,0,0,0,3,False,False,False,False,False,False
1,51,Defense,P3,MS-SD-IK-EF-AM7,False,0:16.6,1,1,0,0,0,0,0,0,0,2,True,False,True,False,False,False
1,52,Defense,P3,MS-SD-IK-KJ-MH,False,0:09.5,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
1,53,Offense,P3,MS-SD-IK-KJ-MH,False,0:02.4,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False
1,54,Defense,P3,MS-SD-IK-KJ-MH,True,0:10.7,1,0,0,0,0,0,0,1,0,0,True,False,False,False,True,False
1,55,Defense,P3,MS-SD-IK-KJ-MH,False,0:18.9,2,1,0,0,0,0,0,1,0,2,True,False,True,False,True,False
1,56,Offense,P3,MS-SD-IK-KJ-MH,False,0:17.5,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
1,57,Offense,P3,SD-AC-IK-KJ-MH,False,0:18.3,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
1,58,Defense,P3,SD-AC-IK-KJ-MH,True,0:10.5,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
1,59,Defense,P3,SD-AC-IK-KJ-MH,False,0:19.9,1,1,0,0,0,0,0,0,0,2,True,False,True,False,True,False
1,60,Offense,P3,SD-AC-IK-KJ-MH,False,0:26.1,0,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False
1,61,Offense,P3,SD-AC-EF-AM7-MH,True,0:10.5,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
1,62,Offense,P3,SD-AC-EF-AM7-MH,True,0:19.6,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
1,63,Offense,P3,SD-AC-EF-AM7-MH,False,0:11.0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False
1,64,Defense,P3,SD-AC-EF-AM7-MH,False,0:09.8,0,0,0,0,0,0,0,0,1,0,True,True,False,False,False,False
1,65,Defense,P3,SD-AC-EF-AM7-MH,False,0:09.9,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
1,66,Offense,P3,SD-AC-EF-AM7-MH,False,0:06.4,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
1,67,Defense,P3,SD-AC-EF-AM7-MH,False,0:06.5,1,1,0,0,0,0,0,0,0,2,True,False,False,False,False,False
1,68,Offense,P3,SD-AC-EF-AM7-MH,False,0:23.2,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
1,69,Defense,P4,SD-SN-IK-KJ-MH,False,0:13.1,1,1,0,0,0,0,0,0,0,2,True,True,True,False,False,False
1,70,Defense,P4,MS-DP-AC-EF-AM7,False,0:13.5,0,0,1,1,0,0,0,0,0,3,True,False,False,True,False,False
1,71,Defense,P4,SD-SN-SI-A'M-JB,False,0:21.2,1,1,0,0,0,0,0,0,0,2,True,False,True,False,False,False
1,72,Offense,P4,SD-SN-SI-A'M-JB,True,0:06.6,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
1,73,Offense,P4,SD-SN-SI-A'M-JB,True,0:27.6,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
1,74,Defense,P4,SD-SN-IK-KJ-MH,False,0:12.5,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
1,75,Offense,P4,SD-SN-IK-KJ-MH,False,0:23.6,0,0,1,0,0,0,0,0,0,0,False,False,False,False,False,False
1,76,Defense,P4,SD-SN-IK-KJ-MH,False,0:23.4,0,0,0,0,0,0,1,0,0,0,True,False,True,False,False,False
1,77,Offense,P4,SD-SN-IK-KJ-MH,False,0:23.8,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False
1,78,Defense,P4,MS-DP-AC-EF-AM7,False,0:11.7,1,1,0,0,0,0,0,0,0,2,True,True,True,False,False,False
1,79,Offense,P4,MS-DP-AC-EF-AM7,False,0:01.0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
1,80,Defense,P4,MS-DP-AC-EF-AM7,True,0:05.8,0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False
1,81,Defense,P4,MS-DP-AC-EF-AM7,False,0:11.2,0,0,0,0,0,0,1,0,0,0,True,True,False,False,False,False
1,82,Offense,P4,MS-DP-AC-EF-AM7,False,0:18.8,1,1,0,0,0,0,0,0,0,2,False,False,False,False,False,False
1,83,Defense,P4,SD-SN-SI-A'M-JB,False,0:15.0,0,0,1,1,0,0,0,0,0,3,True,True,False,False,False,False
1,84,Defense,P4,SD-SN-IK-KJ-MH,False,0:10.1,1,1,0,0,0,0,0,0,0,2,True,True,True,False,False,False
1,85,Defense,P4,SD-SN-IK-KJ-MH,False,0:12.5,0,0,1,0,0,0,0,0,0,0,True,False,False,True,False,False
1,86,Offense,P4,SD-SD-SN-IK-KJ-MH,False,0:05.6,1,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False
1,87,Defense,P4,MS-DP-AC-EF-AM7,True,0:07.9,0,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False
1,88,Defense,P4,MS-DP-AC-EF-AM7,False,0:15.0,0,0,1,0,0,0,0,0,0,0,True,False,False,True,False,False
1,89,Defense,P4,MS-DP-AC-EF-AM7,False,0:13.8,0,0,0,0,0,0,1,0,0,0,True,False,False,False,False,False
1,90,Offense,P4,MS-DP-AC-EF-AM7,False,0:17.1,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False
1,91,Offense,P4,MS-DP-AC-EF-AM7,False,0:08.5,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False
1,92,Defense,P4,MS-DP-AC-EF-AM7,True,0:11.0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
