Player,Defensive Possessions,On-Ball Opportunities,Boxout Opportunities,Middle Drives,Uncontested 3s,Paint Touches,Fouls,Deflections,Charges Taken,Loose Balls Recovered,Successful Boxouts,O-Boards Allowed,Missed Boxouts
#0 Sarah Deng,59,35,13,17,9,28,1,6,0,0,7,3,6
#02 Mari Somvichian,47,23,6,17,6,25,0,3,1,0,3,1,3
#03 Danae Powell,20,12,1,7,4,12,0,1,0,1,0,1,1
#06 Shawnee Nordstrom,28,12,4,4,3,11,0,7,0,0,4,0,0
#07 Ana Milanovic,43,10,5,14,7,28,0,4,0,0,4,0,1
#08 Shanayka Ismar,23,16,5,6,6,12,0,3,0,0,4,0,1
#11 Erica Finney,29,9,4,12,3,15,2,2,0,0,2,0,2
#13 Ivana Krajina,37,9,8,8,3,10,1,4,0,1,6,2,2
#22 Ali'a Matavao,5,3,1,1,0,5,0,1,0,0,1,0,0
#24 Kayla Jones,51,19,11,12,7,18,0,10,0,0,9,0,2
#30 Janay Brantley,5,1,1,1,0,4,0,1,0,0,1,0,0
#04 Allison Clarke,32,6,3,10,2,15,1,1,0,1,3,0,0
#55 Maya Hernandez,58,16,12,14,9,24,1,7,0,1,11,1,1
